,SPO1_6,SPO1_8,SPO1_15,SPO1_30,SPO1_39,SPO1_53,SPO1_74,SPO1_100,SPO1_102,SPO1_141,SPO1_144,SPO1_146,SPO1_172,SPO1_204,SPO1_97,SPO1_47,SPO1_95,SPO1_64,SPO1_69,SPO1_84
long_seed_bank_SPO1_1,0.03693885378008744,0.03924187148426828,0.005843411660682659,0.020597384195008152,0.01975301379450608,0.11690963133521616,0.005777040732089707,0.46697503117576206,0.1352807291600161,0.007924514788492387,0.00992529549343369,0.016954174472931814,0.025372184715600377,0.09250686321190514,0.0,0.0,0.0,0.0,0.0,0.0
long_seed_bank_SPO1_2,0.04580201887472251,0.032481192966421664,0.007115066754835664,0.0,0.02700780548790222,0.12709783964753715,0.004985719897247836,0.39136695004112054,0.20160554141325332,0.008042744888167173,0.00845714461459695,0.004498134769988789,0.036219459294921416,0.10532038134928491,0.0,0.0,0.0,0.0,0.0,0.0
long_seed_bank_SPO1_3,0.07244329392389527,0.035988320807356276,0.004601400958811799,0.0,0.03371480788318231,0.1175622078228413,0.0044828244407077835,0.5426970392531695,0.01229823915022507,0.004635252594522705,0.015967072330061977,0.005125804034058661,0.03552302446990602,0.11403718614311777,0.0009235261881435912,0.0,0.0,0.0,0.0,0.0
no_seed_bank_SPO1_1,0.017156483579962568,0.020557716643376273,0.0036906099834294616,0.0,0.013487497023380193,0.06161167973972096,0.0020700871998256226,0.21918240391172308,0.006837627062954512,0.005037865331763324,0.008449828936291448,0.0023194304304808757,0.02136111742606745,0.058034408740130744,0.035567671862154863,0.5246355721287387,0.0,0.0,0.0,0.0
no_seed_bank_SPO1_2,0.03839059118353864,0.031360068457499106,0.00475775502841563,0.0009861243295338842,0.0318805719761646,0.09980553428642733,0.0053604730723866185,0.3824583069684024,0.18100839365870597,0.0069767932916806955,0.013702359080744197,0.0054562102071108775,0.024048445318975036,0.08745274323563856,0.0,0.0,0.08635562990477665,0.0,0.0,0.0
no_seed_bank_SPO1_3,0.05761678102509744,0.03731123188195037,0.006640572258492132,0.0,0.018644820139944805,0.14080199618160932,0.005765227135650188,0.2871223706355211,0.24913441180880389,0.012007695329360182,0.015133080794042205,0.003950197041895302,0.044670503706341805,0.11639424421295567,0.0,0.0,0.0,0.0015865749323833837,0.0004739108009500029,0.0027463821150023587
