unq.sample,phageORhost,trt,line,transfer,ancestor,seed.bank,phage_trt,subpop,seq_run,raw_R1,raw_R2,ddup_R1,ddup_R2,ancestor_fasta,ancestor_gff
SNCt-L1-T14,host,SNCt,L1,T14,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNCt-L1-T14-rV_S50_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNCt-L1-T14-rV_S50_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L1-T14-rV_S50_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L1-T14-rV_S50_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNCt-L2-T14,host,SNCt,L2,T14,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNCt-L2-T14-rV_S51_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNCt-L2-T14-rV_S51_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L2-T14-rV_S51_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L2-T14-rV_S51_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNCt-L3-T14,host,SNCt,L3,T14,dspoIIE-ANC,no_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNCt-L3-T14-rV_S52_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNCt-L3-T14-rV_S52_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L3-T14-rV_S52_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNCt-L3-T14-rV_S52_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNO-L1-T14,host,SNO,L1,T14,dspoIIE-ANC,no_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNO-L1-T14-rV_S47_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNO-L1-T14-rV_S47_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L1-T14-rV_S47_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L1-T14-rV_S47_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNO-L2-T14,host,SNO,L2,T14,dspoIIE-ANC,no_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNO-L2-T14-rV_S48_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNO-L2-T14-rV_S48_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L2-T14-rV_S48_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L2-T14-rV_S48_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
SNO-L3-T14,host,SNO,L3,T14,dspoIIE-ANC,no_seed_bank,SPO1,revived_total,GSF2865,data/input/fastq/host/GSF2865-SNO-L3-T14-rV_S49_R1_001.fastq.gz,data/input/fastq/host/GSF2865-SNO-L3-T14-rV_S49_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L3-T14-rV_S49_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-SNO-L3-T14-rV_S49_R2_001.fastq.gz,data/dspoIIE-ANC.fa,data/dspoIIE-ANC.gff3
WLCt-L1-T14,host,WLCt,L1,T14,delta6-ANC,long_seed_bank,noPhage,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WLCt-L1-T14-rS_S32_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L1-T14-rS_S32_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L1-T14-rS_S32_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L1-T14-rS_S32_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLCt-L1-T14,host,WLCt,L1,T14,delta6-ANC,long_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-WLCt-L1-T14-rV_S26_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L1-T14-rV_S26_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L1-T14-rV_S26_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L1-T14-rV_S26_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLCt-L2-T14,host,WLCt,L2,T14,delta6-ANC,long_seed_bank,noPhage,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WLCt-L2-T14-rS_S33_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L2-T14-rS_S33_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L2-T14-rS_S33_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L2-T14-rS_S33_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLCt-L2-T14,host,WLCt,L2,T14,delta6-ANC,long_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-WLCt-L2-T14-rV_S27_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L2-T14-rV_S27_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L2-T14-rV_S27_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L2-T14-rV_S27_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLCt-L3-T14,host,WLCt,L3,T14,delta6-ANC,long_seed_bank,noPhage,revived_spore,GSF2865,data/input/fastq/host/GSF2865-WLCt-L3-T14-rS_S34_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L3-T14-rS_S34_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L3-T14-rS_S34_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L3-T14-rS_S34_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
WLCt-L3-T14,host,WLCt,L3,T14,delta6-ANC,long_seed_bank,noPhage,revived_total,GSF2865,data/input/fastq/host/GSF2865-WLCt-L3-T14-rV_S28_R1_001.fastq.gz,data/input/fastq/host/GSF2865-WLCt-L3-T14-rV_S28_R2_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L3-T14-rV_S28_R1_001.fastq.gz,data/ddup-fastq/host/ddup-GSF2865-WLCt-L3-T14-rV_S28_R2_001.fastq.gz,data/delta6-ANC.fa,data/delta6-ANC.gff3
