,SPO1_1,SPO1_6,SPO1_8,SPO1_15,SPO1_27,SPO1_39,SPO1_41,SPO1_53,SPO1_62,SPO1_74,SPO1_100,SPO1_101,SPO1_102,SPO1_110,SPO1_137,SPO1_141,SPO1_144,SPO1_145,SPO1_146,SPO1_172,SPO1_204,SPO1_94,SPO1_96,SPO1_97,SPO1_107,SPO1_126,SPO1_16,SPO1_30,SPO1_64,SPO1_47,SPO1_95,SPO1_69,SPO1_84
short_seed_bank_SPO1_1,0.00013512584442461017,0.03780750335735868,0.01851577243465841,0.007026371098582319,0.04940133301652658,0.011166905600295192,0.016283757364733607,0.0614062463390329,0.008274871831794331,0.004438903097428994,0.16181233905491302,7.015018826894716e-05,0.06434313314904475,0.3853694107153643,0.05879399645720284,0.004805500977821483,0.005793314901560829,0.004045978698565282,0.00256553294329496,0.041374863538685476,0.05656898939044233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_seed_bank_SPO1_2,0.0,0.027680481793052294,0.015343369839102217,0.002774676538369977,0.03267487505439204,0.012534847105135234,0.012654861552729829,0.040313357062922814,0.005598151296776389,0.0026338702598960382,0.10955317838913073,0.005343322800590928,0.05550346080773561,0.23215301791027082,0.04019465175668821,0.003092999764006291,0.004528420259576099,0.006261559874735787,0.0014406474945010816,0.017602760225034566,0.04010159248020848,8.123008671795258e-05,0.21415043638320508,0.0006815385386242233,0.09708449756825296,0.020018195158344337,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_seed_bank_SPO1_3,0.0001055062753204472,0.04187575917764606,0.019733811342533637,0.003597963712283344,0.05229204948036932,0.011563862813720073,0.020313894983916156,0.0685336262920924,0.00966330903424359,0.00547050111472397,0.20034232173225214,0.0,0.016039942282521202,0.36588049531886385,0.07079878550522276,0.005845018552292572,0.0061851873645121635,0.009698840618366365,0.0029575238434177064,0.018785413636365354,0.07011309882006625,0.0,0.0,0.0,0.0,0.0,0.00020308809927052426,0.0,0.0,0.0,0.0,0.0,0.0
long_seed_bank_SPO1_1,0.0,0.03180559786715138,0.01990819788112351,0.004468582594811858,0.041128739412709205,0.023041491641003286,0.01958301738347043,0.06048102835892259,0.007203145905143092,0.004598028473498276,0.24298692095747443,0.0,0.07113084212012409,0.2832776389159052,0.06530041243626879,0.004645009872595984,0.005649755244321071,0.006868280746255524,0.006854385061329415,0.01642554250071263,0.052247352819209565,0.0,0.0,0.0,0.0,0.0,0.0,0.03198953931448458,0.0004064904934850298,0.0,0.0,0.0,0.0
long_seed_bank_SPO1_2,0.0,0.03737172440728392,0.01985975469232462,0.0038429442146871097,0.05025645311782542,0.019651798424753703,0.019107459902658105,0.07735003868192064,0.008116033374127474,0.005901932499618152,0.15248915537013438,0.0,0.08752802137232653,0.32658763295870674,0.07500337400901906,0.0050006577980237265,0.005868217621343636,0.007915909327584628,0.0023837760250132434,0.026104919730091814,0.06966019647255713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_seed_bank_SPO1_1,0.0,0.024507724763648764,0.0162496401316696,0.002932548478098448,0.03580499022396404,0.03418030725850678,0.017384681869238954,0.04886369720989045,0.005840528564959781,0.0033907056182207436,0.14748510929242117,0.07451199438492373,0.015484598334217989,0.2012814600889189,0.0724441085522181,0.00382310315578081,0.005536828058976893,0.00793575177475588,0.0020742777694222688,0.013479298269077258,0.04355383898298968,0.0,0.0,0.020911573360944333,0.0,0.0,0.0,0.0,0.0,0.2023232338571554,0.0,0.0,0.0
no_seed_bank_SPO1_2,0.0,0.030366987383837387,0.01634366691648473,0.003373674483909651,0.04731125811259426,0.030174384397009535,0.018334181322327132,0.052544353844880806,0.006766412873169572,0.003966334384140931,0.2548902404147314,0.0,0.07517097122117797,0.28314120455805875,0.06564729546881395,0.003634892762669252,0.008423162831056605,0.006636054811342622,0.0026558843018559906,0.008777659606480784,0.05268209952555765,0.0,0.0,0.0,0.0,0.0,0.0,0.001066866099438229,0.0,0.0,0.02809241468046278,0.0,0.0
no_seed_bank_SPO1_3,0.0,0.03592505416766464,0.015808403416562977,0.003988268112649808,0.03901572751382205,0.0070527813374361165,0.0143462014344984,0.0549563374762431,0.007462006993236781,0.0035617396974361257,0.12819475476158054,0.0,0.06188000919701595,0.40389936134804216,0.057109327822164865,0.004491641093306488,0.005954492113108833,0.004592625138571634,0.002049707857118004,0.09467349977029359,0.047423127670734845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033231979348393387,0.0,0.0,0.0016031849842894866,0.0026885501593841244
